"uscode","naics","lfo","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","f1_4","e1_4nf","e1_4","q1_4nf","q1_4","a1_4nf","a1_4","n1_4","f5_9","e5_9nf","e5_9","q5_9nf","q5_9","a5_9nf","a5_9","n5_9","f10_19","e10_19nf","e10_19","q10_19nf","q10_19","a10_19nf","a10_19","n10_19","f20_49","e20_49nf","e20_49","q20_49nf","q20_49","a20_49nf","a20_49","n20_49","f50_99","e50_99nf","e50_99","q50_99nf","q50_99","a50_99nf","a50_99","n50_99","f100_249","e100_249nf","e100_249","q100_249nf","q100_249","a100_249nf","a100_249","n100_249","f250_499","e250_499nf","e250_499","q250_499nf","q250_499","a250_499nf","a250_499","n250_499","f500_999","e500_999nf","e500_999","q500_999nf","q500_999","a500_999nf","a500_999","n500_999","f1000","e1000nf","e1000","q1000nf","q1000","a1000nf","a1000","n1000"
"98","31223/","P",,"G",896,"G",10712,"G",40757,21,"A","D",0,"D",0,"D",0,6,"A","D",0,"D",0,"D",0,1,"B","D",0,"D",0,"D",0,2,,"H",230,"G",2893,"G",10870,8,"B","D",0,"D",0,"D",0,1,"E","D",0,"D",0,"D",0,2,"E","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","31223/","O","A","D",0,"D",0,"D",0,1,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312230","-",,"H",14599,"G",268783,"H",930355,114,"B","S",0,"G",409,"H",3178,34,"B","D",0,"D",0,"D",0,8,,"G",117,"G",997,"H",3746,8,,"G",739,"G",7755,"G",31812,23,,"H",765,"H",8384,"H",28582,10,,"G",2467,"G",43228,"G",152528,17,,"H",2756,"H",35317,"G",142272,8,"G","D",0,"D",0,"D",0,3,,"H",5194,"G",131464,"H",450883,3
"98","312230","C",,"H",12408,"G",241395,"H",818975,48,"A","D",0,"D",0,"D",0,6,"B","D",0,"D",0,"D",0,3,"B","D",0,"D",0,"D",0,2,,"G",284,"G",3081,"G",12687,9,,"H",273,"H",3054,"H",8020,3,,"H",1894,"H",35539,"H",121209,13,"G","S",0,"H",26837,"H",107510,6,"G","D",0,"D",0,"D",0,3,,"H",5194,"G",131464,"H",450883,3
"98","312230","Z",,"G",1196,"G",15930,"G",67813,38,"B","S",0,"H",202,"H",1124,18,"B","S",0,"H",152,"H",613,3,,"G",57,"G",379,"G",1491,4,"C","D",0,"D",0,"D",0,5,,"G",362,"H",4117,"H",15869,5,"E","D",0,"D",0,"D",0,2,"C","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312230","S",,"H",97,"H",684,"H",2547,6,"A","D",0,"D",0,"D",0,3,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,"B","D",0,"D",0,"D",0,1,"B","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312230","P",,"G",896,"G",10712,"G",40757,21,"A","D",0,"D",0,"D",0,6,"A","D",0,"D",0,"D",0,1,"B","D",0,"D",0,"D",0,2,,"H",230,"G",2893,"G",10870,8,"B","D",0,"D",0,"D",0,1,"E","D",0,"D",0,"D",0,2,"E","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312230","O","A","D",0,"D",0,"D",0,1,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","313///","-",,"G",106894,"G",1009443,"G",4116156,2358,,"G",1645,"G",13452,"G",68094,844,,"G",2189,"G",19887,"G",78190,329,,"G",4105,"G",36859,"G",157605,297,,"G",11354,"G",104503,"G",434636,357,,"G",16819,"G",152864,"G",615691,236,,"G",33390,"G",316711,"G",1268190,207,,"G",22839,"G",202990,"G",838578,69,,"G",11091,"G",98755,"G",392710,17,"H","D",0,"D",0,"D",0,2
"98","313///","C",,"G",64733,"G",642549,"G",2620308,852,,"G",481,"G",4852,"G",23898,231,,"G",591,"G",7755,"G",26184,88,,"G",1394,"G",13889,"G",58497,99,,"G",4138,"G",39530,"G",159034,129,,"G",7736,"G",77669,"G",311987,109,,"G",21727,"G",210390,"G",857242,131,,"G",16654,"G",150682,"G",626723,50,,"G",8550,"G",74360,"G",294281,13,"H","D",0,"D",0,"D",0,2
"98","313///","Z",,"G",29091,"G",256985,"G",1056354,1046,,"G",753,"G",6236,"G",33079,376,,"G",1152,"G",9643,"G",41511,172,,"G",2138,"G",18234,"G",78729,155,,"G",6041,"G",55049,"G",236602,189,,"G",6194,"G",51756,"G",210849,86,,"G",7793,"G",72623,"G",282319,53,,"G",4540,"G",39602,"G",158080,14,"E","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0
"98","313///","S",,"H",2351,"H",18294,"H",78128,182,,"G",230,"G",873,"H",4259,133,,"G",197,"G",915,"G",3885,31,,"G",105,"G",603,"H",2376,8,,"H",129,"G",1175,"G",5015,4,"B","D",0,"D",0,"D",0,1,,"H",845,"H",6496,"H",28905,4,,"G",0,"G",0,"G",0,0,"F","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0
"98","313///","P",,"G",9420,"G",83005,"G",329031,269,,"G",177,"G",1481,"G",6846,102,,"G",249,"G",1574,"G",6610,38,,"G",454,"G",4083,"G",17789,34,,"G",1024,"G",8636,"G",33685,34,,"G",2549,"G",21483,"G",86604,37,,"G",3025,"G",27202,"G",99724,19,"G","D",0,"D",0,"D",0,4,"F","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0
"98","313///","N","F","D",0,"D",0,"D",0,4,"A","D",0,"D",0,"D",0,2,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,"B","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,"E","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
